,Unnamed: 0,productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3,tokens,keyatm_label,Accuracy
10,8405,B0009A4FA2,Safety 1st Color-View Video Nursery Monitor,AIL8R930A85Z5,7/7,2.0,1169510400,"My review is ditto those below it, but it is worse! My monitor also will not run with my wireless devices in the home, yet unlike all other unhappy customers before me, BABYAGE REFUSES to take it back, won't even give me a refund, all with much attitude on the phone! I called Safety first and Amazon and all can do nothing apparently, but now I am out the money and stuck with a monitor that to me is useless. This babyage site is UNBELIEVABLE...DON'T BUY FROM THEM WHATEVER YOU DO!! BUYER BEWARE!",baby products,safety,monitors,93,health personal care,False
11,10750,B000GFAWTI,"Odwalla Nourishing Food Bar, Chocolate Chip Peanut, 2.2-Ounce Bars in 12-Count Boxes (Pack of 2)",A3NEJAXTLK56HO,0/0,5.0,1189641600,"I really enjoy these bars. They are filling, not overly sweet, have a good amount of protein, but still have the chocolate taste I love. They also do not have any milk products in them, which I try to avoid, and that is difficult to find with chocolate. This is not a good bar for low calories though, so check the label. I would recommend buying a single bar at a local store to make sure you like the taste before you buy so many, but this is a better price than in any store I have found.",health personal care,nutrition wellness,nutrition bars drinks,98,grocery gourmet food,False
12,21614,B0009OD1HQ,Chicco Radio Control Jeep (Blue),A9NP7MXGBUFOM,0/0,4.0,1264550400,"We bought this for our 2 1/2 year old boy. He loves it. The controls are very simple and easy to use. The only thing I have to say negative is the controls don't stay secured to the back of the car for storage. The batteries last quit a while. The range on the remote is about 10 - 15 feet. Not a great range, but my son usually follows the car around any way so it is not an issue for him. Overall I would buy it again.",toys games,electronics for kids,unknown,89,toys games,True
13,27625,B0009XH6SC,Andis Ceramic Clamp Flat Iron,A1B7Q54GAGDTZZ,2/2,3.0,1296864000,"It's a really nice little flatiron for the money, but after only one month, mine has died. It does have an auto shut off, so I didn't worry too much about forgetting if I had left it on or plugged in, so maybe that burned it out. If you love the iron, don't leave it on. I have a curling iron with an auto shutoff and I've had it over a year now, and it has had it's fair share of being left on (I have a stand for it that I love http://www.amazon.com/Hair-Art-Spiral-Curling-Stand/dp/B002RU18WK/ref=sr_1_27?s=beauty&ie;=UTF8&qid;=1296933223&sr;=1-27, shop around for the best price and shipping, I got mine for less than $20 total) and it's still working great.This flatiron works great, doesn't snag your hair, and the adjustable heat setting is a must. I have fine hair, and learned (my first flatiron) that the highest heat is not for me, and I gave myself some mean split ends. I started using it at about 10, and it was working fine, and left my hair shiny.I HIGHLY recommend using a hair product designed to be used with flatirons to protect your hair, especially if it's fine. You'll find it softer, shinier, and the risk of damage will be much less. DO NOT USE ON WET HAIR no matter what it says!",beauty,hair care,styling tools,217,beauty,True
14,5404,B00009KFQX,HoMedics JS-200P JetSpa Ultra Pedicure Jet Action Footbath,ATIAR9PS9KU4Q,6/6,4.0,1134000000,"I just received my Homedics JetSpa yesterday. After giving it a try for the first time, I'd say I am pretty happy with my purchase. It does heat the water pretty well, though the heater is somewhat unstable. It takes quite some time to heat after I turn on the heater and gets very hot in an instant instead of gradually. I agree with the previous reviewer that there's no difference between bubble spa and jet spa, but the water jets are quite nice. I just wish they can be stronger ...Cons",health personal care,personal care,unknown,92,pet supplies,False
15,29733,B000HZNL36,CHANTILLY For Women By DANA Eau de Toilette Spray,A3ATYCCBWLBUYC,2/2,5.0,1306108800,"it has been more than 20 years that i use chantilly and i will keep on using it because it is all i want in a cologne. sweet, femenine, delicate. i just love it. it is difficult to find but i search all around until i get it and mostly buy at least 2 bottles at a time.",beauty,fragrance,women s,58,beauty,True
16,23649,B0006IVERO,Taylor 5610 Handheld Body Fat Analyzer,AFO94BZWPECOA,0/0,3.0,1276819200,Comparison of this device to calipers and calculations based on body measurements gave results within +/- 3%. The user must be hydrated for these devices to work properly. They rely on the water content to measure the percentage of body fat.,health personal care,medical supplies equipment,health monitors,41,grocery gourmet food,False
17,2577,B00005YVRN,Ocean Wonders Aquarium,A1YD8MHSEUM4KR,0/0,5.0,1085270400,This toy always soothes my baby. She loves to watch the bubbles and she loves the music. Her favorite noise is the ocean waves. She looks and smiles at it when she hears the waves crashing down. She is 10 months old now and still is intrigued by it.P.S. All the other Ocean Wonders toys are just as great!,toys games,novelty gag toys,unknown,59,toys games,True
18,28252,B000CBWVE0,No-Spill Paint Cups & Brushes Assortment,A2LT1QW5SP0EHM,0/0,3.0,1299456000,"Hello,No SPILL???? The issue I have with these paint cups is that the lids fall off easily. This isn't good when you have a 2 year old playing with paint in your living room!!! If you could make the seal on the lids a bit tighter, allowing older children to remove it but impeding younger ones from spilling paint everywhere, that would be ideal. Thanks.Lianne",toys games,arts crafts,craft kits,65,toys games,True
19,9178,B000IV0REA,Sanyo Eneloop AA NiMH Pre-Charged Rechargable Batteries with Charger - 4 Pack,A3EI1X876U5MWL,2/2,5.0,1175904000,"I bought a couple Eight-Pack sets for our two cameras. I charged them and the 'good' Sanyo 2700's. A month later, the ENELOOPs 'topped off' in around 15 minutes; the Sanyos took over TWO hours to 'top off'. They suit me. I'm bought one more Eight-Pack, for my daughter.Overall 'life' wont be known for some time, but they seem to be all they are bally-hoo-ed up to be...",health personal care,household supplies,household batteries,68,toys games,False
20,38505,B00074L4IQ,Premier Gentle Leader Head Dog Collar,A3QU3O79AGNWCY,1/1,5.0,1338854400,"I have trained dogs and horses for many years and for my dogs I was a avid fan of the choke chain. I never ever had a problem training a dog to heal on and off leash until I got a rescued 5 year old Weimaraner. I tried for over three months to get him to walk on a slack leash. I don't believe in letting a dog choke himself by constant pulling. Normally a voice que short tap works just fine because eventually all you need is the voice que. In frustration, decided to use the Gentle Lead as a last resort. The reason was that with a horse if you control the head the rest will follow. So the first thing I did was put the DVD aside and figured out how to put it on my dog because I am just sooo smart. It worked OK he was easier to control but the nose band would go sideways thus messing with his mouth and eyes. On a whim I decided to watch the DVD and discovered that I wasn't smart at all and didn't put it on correctly. Once I did that the dog was almost perfect and after a week of leash training there is no pulling at all and he responds great with voice ques. Never forget some/most dogs think pulling is a game unless they are taught differently. Yes, the collar is thin but it doesn't have to be more than that because there is no problem with pulling once they get they understand what is expected of them and after all it is the owner's responsibility to teach them. I will never use a choke chain again. Control the head and the rest will follow. I read some of the reviews that were negative and they have valid arguments; however remember the goal is a slack leash so when your dog pulls just stop in your tracks until he looks back at you, praise him and walk on. This way he will know what is required of him. Pull and we go no further slack and we move out. It will take some time but hopefully no too much.",pet supplies,dogs,collars,366,pet supplies,True
21,30293,B0002ZA8S2,Hot Tools Professional Curling Iron with Multi-Heat Control,A2ZAND4U1FS879,0/0,5.0,1308614400,"I like this hot tools curling iron because of its great design and functionality. It's long handle makes it easy to hold when I twist my wrist. The top end that attached with rubber is not hot when the tool turns on. So that makes it more easy to control the tool. I also like that it become hot very fast (only for a few seconds). The heat adjustment is great. I have a fine hair at shoulder length, and this product can curl my hair very good (normally my hair is hard to curl). I got the 1"", and it makes nice curls on my hair. Great buy!",beauty,hair care,styling tools,109,beauty,True
22,25327,B00005UFC1,Tolo Toys Rolling Shape Sorter,A3RWANMIY333SO,0/0,5.0,1286582400,"The creators of this toy obviously put a lot of thought into the design.This toy is on its 3rd child and still looks and feels brand new. My son throws his toys around a lot and it hasn't been damaged at all. He started playing with the shapes when he was about 8 months old, at 11 months he still plays with it every day and he is just starting to try to put the shapes into the holes.Here are a few reasons it is one of our favorites:-The shapes are easy to hold and brightly colored, each shape is a shaker with its own pleasant sound. When we listen to music he often shakes and clacks them together to the music.-Both sides come off easily but not too easily. If I take one side off he puts the shapes in and dump them out or with both sides off it is like a tube for rolling around and various other games. If I put all of the shapes in and close both sides he rolls it around and shakes it in both directions. Occasionally a shape will find its way out through its own hole but they dont all come flying out and the sides stay in tact.-The holes are just right, easy enough to fit the shapes so he can have some success and ""get"" the game.If you are looking for a good non-electronic learning toy I highly recommend this one!",toys games,baby toddler toys,shape sorters,243,toys games,True
23,7845,B000AQE7K8,Homedics Therapist Select Shiatsu Massaging Cushion SBM-300,A3S583K80QN1VG,2/3,3.0,1168214400,"I didn't have high expectations for this product based upon previous experience with Homedics. Although ours is new and we cannot vouch for it's durability, the massaging action on the back is just wonderful.If there is a flaw, it's that the width adjustment is only available on the vertical roller settings. It would be really good if that were available on the shiatsu settings too. Maybe that's the way the next model up works, but it wasn't clear in any of the product descriptions.The most useless feature is a vibrator in the seat portion. I suppose that's nice if you're female.",health personal care,health care,massage relaxation,101,pet supplies,False
24,27404,B000C7J9YO,Dr. Scholl's DR6622 Toe-Touch Foot Spa with Massage,A3R15ZO8LNPLJC,0/1,5.0,1295827200,I bought the foot spa for my GF for Xmas. She seems to really be enjoying it. The comments about the water satying warm is accurate but not that big of a deal. She does plug it in and it does not bother me while I am watching a movie or playing a game.,health personal care,health care,massage relaxation,54,toys games,False
25,2160,B00006781A,Leapfrog Leap's Phonics Railroad,A84VEZFEOTXKC,6/12,5.0,1074902400,My grandson was playing with the locomotive and no one knows how but the skin between his thumb and index finger got caught between the wheel and the frame. Seems he may have picked it up from the top when the wheels were going around. He is only 20 months old. When he started screaming my duaghter ran in to see what the problem was. She could not get his hand out. Thankfully my son in law was home and she screamed for him and it took his strength to pull the wheel away from the frame to get his hand out,toys games,electronics for kids,electronic toys,102,toys games,True
26,33580,B000I6C874,Prenatal Cradle,A2CMETDVOVHXYZ,2/3,3.0,1322092800,"I only ended up using this a handful of times in my 6th & 7th months of pregnancy. It fit tightly (and I was just barely in the low end of the weight guide sizing wise), was extremely cumbersome to try to put on, was uncomfortable in the underbelly area, and dug into my lower back as well. I agree with the reviewer who said that it looks better on the computer screen than what it actually is in real life. If I had it to do all over again, I'd save my money and tough it out instead.",health personal care,medical supplies equipment,braces,99,health personal care,True
27,24413,B000F9J3M2,SW Express Geyser Blast Sprinkler,A1WAA32LZ1488K,0/0,1.0,1281744000,"The kids like a $5 sprinkler from home depot better.. I feel totally ripped of by this .. I don't remember why i didn't return it.. maybe i was busy .. it was last summer, i don't remember.. I have the buyers remorse ..",toys games,novelty gag toys,unknown,44,grocery gourmet food,False
28,31218,B000N8FAIQ,Sedu Ionic Ceramic Tourmaline Straightener,ASR2T4L0J5LTX,0/0,2.0,1312416000,"After using this for about a week, I found that it was no better than a cheaper brand I was previously using. The iron gets super hot and there is no place to hold on to it without burning your hand. I don't know if they are all like this or if mine was defective. For the price, I was not impressed.",beauty,hair care,styling tools,62,beauty,True
29,23257,B000G82L62,"Lundberg Wild Blend, Gourmet Blend of Wild and Whole Grain Brown Rice, Gluten Free, 16-Ounce Bags (Pack of 6) Package May Vary",A1LIZLFBI29RIA,14/15,4.0,1274054400,"Obviously rice isn't a low-carb food per se, but this wild blend has significantly less impact on my blood sugar than the jasmine variety I grew up eating. It's flavorful and has a wonderful chew -- and it cooks up just fine in a rice cooker (we use 1.5 cups of liquid per cup of rice). The 6-pack boxes we order two sets at a time keep us stocked for a few weeks. We do find, however, that the rice doesn't smell very good after only a little while in the storage bin. Doesn't change the flavor or its smell once you've cooked it, but I'd recommend washing out your storage container between refills.",grocery gourmet food,pantry staples,dried beans,114,grocery gourmet food,True
30,12641,B000NZP07A,K'nex Wheel Action 10 Model Building Set- 154 pcs,A15GRVW33G825K,1/1,5.0,1201824000,"My boys love these and this makes a great small set or addition to your collection... great to grow little minds and imaginations... check around for prices, you can get better prices sometimes even locally.. but this was a pretty good deal...",toys games,building toys,building sets,42,toys games,True
31,30472,B000056OV0,PRIMO EuroBath,A2IG7XJIN3OLV0,0/0,5.0,1309392000,I'm so happy about the service.I have two children and I bought same bath tub seven years ago. I recommend this product 100%.This was a gift for my sister. Her first pregnancy.Product was delivered two days before it was scheduled.Thank you so much.,baby products,bathing skin care,bathing tubs seats,43,toys games,False
32,15846,B000059GWH,Fisher-Price Super Spiral Speedway,A3AEAHT17SULRN,1/2,5.0,1225929600,"My son loves this toy and could play with it for hours! He uses the cars that came with it, but also uses other matchbox cars. In fact, that's part of the fun...the weight of the different cars varies so that adds some suspense to which car will make it down the ramp the fastest. The winner is then paired up with another car, then the winner of that race is paired up with another, and so on. We'll have about 25+ matches to come up with a grand prize winner, and then we do it all over again. It's a lot of fun and it keeps him entertained for a long time!!",toys games,vehicles remote control,vehicle playsets,113,toys games,True
33,16741,B000BNB1AY,Alex Toys Modeling Clay Assorted 24-Pack,A1YAKZILENR6M8,7/7,5.0,1231372800,"I got this from my grandchildren's wish lists. Of all the Christmas gifts, this one got the most use. My daughter and her husband are artists and their 3 kids are artsy, as well. They spent hours creating fabulous figures and then made stop-action videos with them. The clay is neat, dries well, and the colors are vivid. Highly recommended!",toys games,arts crafts,clay dough,60,toys games,True
34,38100,B000641DPQ,Step2 WaterWheel Activity Play Table,A1XWUUP84I4D5R,1/1,4.0,1337212800,I didn't want to pay too much for a product like this so I chose this one. I still think its overpriced. Our daughter loves it. She loves to pour using the cup and waterwheel. The boats are a waste. They don't float and are cheap. I don't think it would have cost the company that much to throw Ina better boat. But overall I highly recommend this product because of how much my daughter enjoys it,toys games,sports outdoor play,sand water tables,77,toys games,True
35,15225,B000FV69MC,"the supernatural | poreless, flawless spf 15 tinted primer | philosophy",AUZDGVQULXYAO,10/11,4.0,1221436800,"I had high hopes and, honestly, to an onlooker my makeup looks flawless and photographs well. However, as the wearer, my Supernatural Poreless feels a bit slick and paranoia of needing to hit my pressed powder every 5 minutes starts to settle in...although, again, to an onlooker, my face looks picture perfect. So, I suppose it does hide the flaws, but I'm not a fan of the way it makes my face feel. Note that my skin is somewhat oily in the t-zone area...and for reference, I'm in my mid-30s with generally mild complexion, no acne, but larger pores. The Supernatural does minimize the pores and is a good base for its partner powder/mineral foundation, but I can't get over the oily feeling.",beauty,makeup,face,123,beauty,True
36,13976,B000EVT08S,"Haribo Gummi Candy, Techno Bears, 5-Pound Bag",AEWO99LQCP80D,34/35,5.0,1212019200,"After reading the reviews and looking at the pictures I decided I wanted to try these.Compared to Regular Gummy Bears by Haribo one of the most noticeable things about them (aside from the color difference) is that they are about 1.5x bigger than a normal gummy bear. The next thing you will notice different are the flavors. They flavors are a nice twist on an amazing food, but since some of you guys might be worried you might not like the flavors (like I was) I have tried and below is a list of the colors and the coordinating flavor:Pink",grocery gourmet food,candy chocolate,gummy candy,100,grocery gourmet food,True
37,31425,B000F63TW0,Olay Regenerist Microdermabrasion 2.2 Oz & Peel System Skin Care 2.0 Fl Oz,A3QL16U3GWYCJD,6/6,5.0,1313366400,"I have bought this product multiple times and absoutley love the way it makes my skin feel! I love how soft and supple my skin looks after using it!Be careful not to over-scrub as was my tendency the first time I used it. Be gentle until you get a good feel for the product. I prefer to use it before bedtime because, like plucking my eyebrows, my skin can get a little red and irritated immediately after.I highly recommend you give this stuff a try!",beauty,skin care,face,85,beauty,True
38,35365,B000Q3529K,Disney Easy Grasp Flatware,A2CZMIKXPLFLN4,0/0,3.0,1326931200,"My 1 1/2 year old daughter received this set as a Christmas gift. After reading a review on the 4 piece set where the paint was coming off, I was extra careful not to run these through the washer. Unfortunately I accidentally did, and sure enough, some paint came off. I made a point to hand wash after that incident, and recommend you do the same.My daughter absolutely loves the Minnie fork, and asks for her at every meal (not sure if this is good or bad). We've had the set for only 1 month. With daily use and hand washing, about 25% of the paint is gone.Note that there are different versions of the set. The one we got has Mickey on the spoon. If I reordered, I'd get Minnie on both. She doesn't get as excited about Mickey as she does Minnie. And yes, the spoon is very shallow. It's okay for scooping solids, but can get a little messy with any liquids (soup/applesauce). While the set is not perfect, it's still fun and worth buying at least once.",baby products,feeding,solid feeding,181,toys games,False
39,35235,B00005R1H2,Palmers Skin Success Fade Milk Eventone 8.5 oz.,A7WQ69HS5H3EK,1/1,5.0,1326585600,"I have bad scars on my face from acne, they used to be so bad that makeup couldn't even cover them. I started using this in november and I can definitely see a difference; the scars aren't completely gone, but they are now coverable and even without covering them they're bearable. And I should say that I don't even use this everyday like it says in the directions, which says to use it twice a day, I probably only use it every other day and sometimes I skip. I would definitely reccomend trying this, because it is amazing.",beauty,skin care,face,98,beauty,True
40,1662,B00004LCAL,Aqua Leisure Aqua Leisure Swim School Deluxe Tot Trainer Inflatable Rubber Tube Swim Aid with Pants,A3UZPZFWCLAN71,8/8,5.0,1062115200,"I was searching everywhere for some type of floating device that would allow my 2 year old to play in the pool without having to be held by mom or dad. I tried tubes and vests but my son was never able to balance himself with them on. With this tube and one piece suit, I don't have to worry about it slipping off and he is able to keep his balance and keep his face out of the water. Now the whole family can be in the pool with him and he just paddles his way around the whole pool and has the best time doing it!!!",toys games,sports outdoor play,pools water fun,108,toys games,True
41,37505,B000FHZNQO,Elasto-gel Cervical Collar CC102B,A29QA7JHPNBVSN,0/0,5.0,1334707200,"Elasto-gel is so awesome.. i have tried every possible kind of heating pad and it is by far the best combo of comfort, durability and ease. Heat lasts 20-30 min. which is pretty standard. I microwave 45 sec, flip then another 45 sec = perfect heat. It molds to fit neck well, though i'm small and the velcro tab could be larger to accommodate. I'm ordering the headache cap as well, great stuff!",health personal care,health care,pain relievers,73,baby products,False
42,32847,B000E65DG6,Maha Powerex MH-C808M 8 Cell Multi-Charger for AA/AAA/C/D,A2AUJKRW4BX6NP,2/3,5.0,1319068800,"Bought this to charge NiMH C/D cells; already have a MaHa charger for AA/AAA that I love. So far the Maha charger handled all my no-name and Powerizer C / D cells in a few hours, stopped charging like it was supposed to, and the cells stayed nice and cool the whole time. It is very quiet (softly clicks about once a second only when charging, no noise when empty, no high pitched whining at all).Perfect.I already have another high-end smart charger that never seems to finish charging some cells (days!) and gets the cells so hot you can't touch them. I'd been blaming the batteries. The MaHa charger has no trouble with the same cells.",health personal care,household supplies,household batteries,116,pet supplies,False
43,8111,B000ELIXRW,Princess Genevieve Doll - Barbie In The 12 Dancing Princesses,A1345HTSA35UB0,0/0,2.0,1168473600,"My daughter loves to change her Barbie's clothes, but with this Barbie you can't really do that because of the dress that supposedly twirls. Apparently hers is broken because it has never worked. We didn't put battereies in right away, so I think since the kids were twirling the skirt for her, which let's face it kids are going to do that, it must have broken that way...or it never worked. I'm not sure which. It's a cute Barbie, but I sometimes wish they would keep it a little simpler, so it can be both a Barbie doll and Genevieve.",toys games,dolls accessories,dolls,100,grocery gourmet food,False
44,15095,B000FSFNUE,FURminator deShedding Tool,A3IE1M3QVUKIJN,0/0,5.0,1220400000,"I bought this comb to reduce cat hair, thereby reducing my cats hairballs. My cat has always enjoyed the atttention of a brushing, and this was no exception. The instructions state to be gentle when combing, and the weight of the comb is enough to do it's work. My cat loved it and it left his coat extremely well. I brushed my cat for about 30 minutes and was left with a softball sized pile of fur. Added with the whiskers my son saves, we could almost have made another cat!",pet supplies,cats,grooming,91,pet supplies,True
45,39188,B0002643LO,Pampers Baby Dry Diapers (Packaging May Vary),A1P0EU1UUMXKTK,0/0,5.0,1341360000,"Being and Amazon Mom and using the subscribe and save progeam is thebest deal on pampers I have found by far. These have been great with our little one, I would say though that the 'up to 12 hrs' hasn't been the case for us.",baby products,diapering,disposable diapers,45,grocery gourmet food,False
46,7165,B000F4H5U4,"Threelac Probiotic Dietary Supplement, Natural Lemon Flavor, Includes 60 .053-Ounce Packets",unknown,7/19,1.0,1160006400,"I am suspicious of most of these reviews. After several months of use with limited to no sugar intake and avoidance of other provoking diets, there was no result. Again, some of these reviews are suspicious.",health personal care,nutrition wellness,vitamins supplements,36,health personal care,True
47,13087,B0002ATBGC,"Safety Seat Vest Harness, Black",A1SJVZ9IO3U4QX,0/1,5.0,1204934400,"All responsible dog owners should have their dogs in a safety harness when in any vehicle. I think this is one of the best made out there. I like the padded design, and once you know how it works it's super easy to use. (It's not helpful that the picture representation of the product on here is upside down) My dog stands perfectly to have his ""seatbelt"" put on because he knows it means we're going somewhere, and it keeps him from dangerously moving around in the car. I would never go without one of these, in fact, I have a spare in my trunk because no dogs are allowed in my car without one.",pet supplies,dogs,collars,115,pet supplies,True
48,29811,B0006M80CC,"Finish Powerball Tablets, Fresh Scent",A3OBDP3KS945N6,33/37,5.0,1306540800,"We always use ecofriendly products, so I was seriously bummed to realize that our super earth-friendly dishwashing detergent was in cahoots with our semi-hard water to leave a subtle opaque buildup on our glasses and inside our high-end dishwasher. We put up with it for over a year, convinced we were just using too much detergent, the hard water was to blame, etc.Finally, when we ran out of detergent unexpectedly, I picked these up from our local supermarket and used it. I was surprised to see whole streaks of clean metal on the inside of the dishwasher door, where the white film was gone. And in one wash, most of the glassware was much cleaner; in 3 washes, the glasses looked brand, sparkling new again.",health personal care,household supplies,dishwashing,125,beauty,False
49,29356,B000GFSVI2,Wellness Formula by Source Naturals 90 Tablets,A23JCSFKE6X08,0/0,5.0,1304294400,"we've been using this product for a few years now. Very important to start taking tablets at first sign of cold or flu (scratchy sorethroat for me). also family members (your livein friends et al) should begin taking them at same time to avoid being infected. Also,continue to take tablets for a couple days after you feel better. We keep a supply on hand year round.",health personal care,nutrition wellness,vitamins supplements,66,health personal care,True
50,28211,B00013UQV4,Sage - 2 Cup Reclosable Bag,A1VQWMVD80WWPV,3/3,5.0,1299283200,"These rose buds from Catey13 are precious. They have a soft aroma and a pretty look to them. I plan to use them for small sachets in the bags I bought from catey13, and use rose-colored ribbon to adorn the bags. I'm so glad this seller. I bought several things from her and she gave me a refund on the combined shipping costs.",grocery gourmet food,beverages,tea,63,grocery gourmet food,True
51,777,B00000IZJ2,Fire Engine for Two,unknown,20/22,4.0,1022025600,"What could be more enticing than a firetruck to a small child? The only problem is that the four wheels are never pointing in the same direction, and they are too stiff to orient them and go in one direction. From 15 months now to 2 years old, this firetruck is nothing but a frustration and disappointment to him, resulting in much irritation with crying and groans. I've taken it away and bought a simple ride-on from Radio Flyer and we are all much happier.",toys games,tricycles,scooters wagons,85,health personal care,False
52,22160,B000CR1BZ4,Pet Stages ORKA Ball,A1D8HEHHMVFQKU,0/0,5.0,1266883200,"This particular ORKA toy is a must have for any dog who loves to fetch. I have beenpuchasing these for my dogs for over a year. Our dog,""Ramsey"" LOVES to play with the ORKA BALL. He's a cattle dog who we run a few times a day. This ball is gentle to the dogs teeth, bounces so the person throwing it doesn't have to throw as far, and he loves to catch it in the air on a bounce. The ball also floats which has saved us a couple of times. The blue color is easy to see in the outdoors, so it's easy to find if the dog gets distracted and puts it down. Ramsey chews on the ball and it is the ONLY dog toy that he can't destroy. I was told by our local pet rep that ORKA discontinued this model, and I was crushed. Fortunately I found some on Amazon.com.I hope ORKA will appreciate how great this ball is and keep making them.",pet supplies,dogs,toys,167,pet supplies,True
