,productId,Title,userId,Helpfulness,Score,Time,Text,Cat1,Cat2,Cat3,tokens
31713,B0002643LO,Pampers Baby Dry Diapers (Packaging May Vary),AJFFCFWRIVIOY,0/0,5.0,1314489600,I bought a bag of these at the store because they were on sale and used it. It is the best diaper ever! I started using it when my baby was 8 weeks old and she slept for 8 hours! Prior to that we were using the Swaddlers and they were getting soaked after just 4-5 hours. Our baby is almost 11 weeks old now and she's sleeping 11 hours a night and these diapers lasts her that long. These are the best. I have ordered more and will swear by these diapers now!,baby products,diapering,disposable diapers,94
12465,B000065DJY,Revlon RV484 Ion 1875 Watt Hair Dryer,AXJILYBZF074I,13/15,1.0,1200614400,"On the first use (following their instruction booklet exactly), this dryer burned off whole sections of my hair. After complaining to Revlon, I was instructed to contact the manufacturer, Helen of Troy. Frankly, if you're going to put your name on something my feeling is that you should stand by the product yourself and not send consumers on a wild goose chase to track down the responsible party!Instead I contacted the US Consumer Product Safety Commission via email and I received a phonecall from them. They sent an agent out to my home, purchased this dangerous dryer for cash, took pictures of all the burnt hair (yes, I saved all evidence) and I expect as there are many complaints about this product they will soon recall it.Don't buy this dryer or any other Revlon hair products. They are faulty and Revlon does not care about customer service, either.",beauty,hair care,styling tools,148
30809,B000BTPTTW,HALO Newborn Micro-Fleece Sleepsack Swaddle,A2GW1B7CF1F61B,0/0,5.0,1310774400,"I ordered this fleece sleep sack for my baby girl because the room she shares with us is the coldest room in the house and it does a wonderful job of keeping her warm. I love the halo sleep sacks!!! I have been recommending them to all of my mom friends, they are awesome.",baby products,nursery,bedding,54
751,B000063CV0,Star Wars,AXFI7TAWD6H6X,0/0,4.0,1020211200,"I love how the clone trooper was designed after Jenga Fett, at least helmet wise. Now while I did think that there were some minor faults with the model of the Jenga Fett action figure I bought those faults were nothing compared to the clone troopers. Personally I was let down a bit with the body proportions of the action figure. I found the proportion of the helmet to be slightly bigger and obvious to the human eye. I thought this was strange looking. Flexibility wise, I didn't have problems with that although I wished that I was able to bend the arms at the elbow joints. The body of the figure itself is rather skinny. I thought it would have the similiar mass size of Jenga Fett. What really annoyed me was that the rifle that came with the figure didn't hold well in the hands of the figure. Either the hands or the rifle could have been designed better. I did like the missile launcher. That I didn't have a problem with. Call me picky but this design of the clone trooper could have been better. Nevertheless cool design for a early prototype of the clone trooper before the era of Darth Vader.",toys games,action toy figures,figures,205
760,B00005K423,Quoridor Travel Game,unknown,5/9,4.0,1020988800,"I bought this game several years ago for my father, who enjoys strategy games like Othello, Score Four and Pente. This game is in a somewhat similar vein, in that it is quite easy to learn the rules, but has layers of tricky strategy underneath. My dad enjoyed the game for several years, the more so when my much-younger sister started to beat him regularly.Like the other games I mentioned, this one is perhaps too abstract and cerebral for all tastes, which is why I give it only four stars for fun. (If your taste runs to such games, ratchet the rating up to the full five stars.) I can't speak directly to the durability of this ""travel version"" of the game; the version I bought was larger, all wood, and beautifully made. ...",toys games,games,travel games,134
15411,B000FGEWAS,2-in-1 Value Set,ANNN2A6IP7H14,0/0,2.0,1222646400,I bought this for my daughter for Christmas. We thought it would be much nicer than what it turned out to be. Definitely not worth the money. Better to buy a real journal and real stationary.,toys games,arts crafts,craft kits,36
28031,B000F3X67Q,"HoMedics TE-101 Deluxe Large Readout One Second Ear Thermometer with Infratemp Technology, Night Mode and Memory, White",ALWSXUKCOYRRE,0/0,2.0,1298505600,"I bought this to use for my child. I had wanted to try the ear type thermometer for a while. The first two reading seemed to be correct but after that it was horrible. The readings were all over the place on multiple uses, and were not reliable at all. It is also hard to tell if the probe is positioned in the childs ear correctly. The batteries did not last long either. I do not like or trust this thermometer and am must happier and confident with the plain old stick thermometer. I do NOT recommend this product.",health personal care,health care,thermometers,99
34165,B000EE9Y22,"Rainbow Light, Multivitamin",A312FFP0PQSJZH,1/1,5.0,1323820800,"These multivitamins are excellent. I have noticed a substantial difference in my child's health. Her energy and focus has done a major turn around. What really turned me on to these vitamins (to be honest) is how they have changed her bowel movements. She would have horrible constipation, and ever since I have regularly given her these vitamins she has no problem whatsoever.I was going to my not so local health food store and was paying $30.00 for the 120 count jar, which to me wasn't a big deal because I knew how much they improved her health.There is no comparison to the other children vitamins sold out there, I would never consider another multivitamin. Now knowing that I can get them for MUCH cheaper on Amazon is a blessing and a lot less hassle of having to drive out of town to get them. They even arrived two days earlier than expected. I was super excited. And to tell you another truth, I myself eat them and give them to my husband as well!",health personal care,nutrition wellness,vitamins supplements,175
4241,B0000DJ3FL,Fisher-Price Baby Playzone Kick and Whirl Carnival,A25FBWDRJ4AZ33,0/0,1.0,1119052800,"man!!!! I wish I had read these reviews! this looked so cool at the store... I really like to buy toys that change as the baby grows. I thought that maybe, the foot platform would be something that would trigger something if the baby kicked it... but no. I think when she can sit up to play with it, she might like it, but for the price... don't buy it!!!!!!!!!!!",toys games,baby toddler toys,unknown,70
2089,B00008ZCEF,Fisher Price Little People Sweet Sounds Home,unknown,0/0,4.0,1073347200,"We bought this for my daughter at 17 months of age and love all the sounds it makes. She started her love of Little People products at 12 months when she received the sm farm for her first birthday. If your kiddo enjoys Little People like mine does, try the bathtub boat too.",toys games,dolls accessories,dollhouses,53
5533,B00020V58Y,Melissa & Doug Deluxe Wooden Doll Armoire,ACESHCHOXGWAK,230/234,1.0,1135641600,"We bought this armoire for our daughter for her American Girl doll. Having purchased other Melissa and Doug products over the years with great satisfaction, we assumed that this was another one of their wonderful toys. While the armoire is cute, there are two problems with it:1. It is touted as being sized correctly for 18"" dolls; however, the hanging part of the armoire is too short for most of their clothes. In addition, the hanging section is divided into two narrow areas, each of which is really too skinny to hold more than just a few items of clothing.2. The paint finish does not hold up well to even the most minor usage. When carefully unwrapping the armoire from the packaging, we actually chipped a couple of small areas. Since this item is meant for children to play with, the paint should hold up better than that.Since we have always been happy with Doug and Melissa toys, we assumed that we would be happy with this armoire and didn't conduct our research on it as thoroughly as we would have otherwise. By noting the measurements, we would have hopefully realized that the sizing was not right for an 18"" doll and would have instead purchased a different armoire elsewhere.",toys games,dolls accessories,dollhouse accessories,210
1067,B00005K3XX,Hot Wheels Fireball,AWP2073FB06D0,5/5,3.0,1038268800,This toy must continully be put back together every few minutes. Something was always coming apart on it wether it was meant to or not! It never lasted more than 20 sec. or so it was a real pain and very noisy to boot. Not at all what we were lead to believe it could do it was very disappointing. We should have just took it back but what the heck sometimes it just not worth all the time and trouble and especially after the box has been thrown away what are you going to do then. This was a gift from Santa and his gifts are always under the tree christmas morning waiting for the children. Guess I will hold on to those boxes this year and find a place for them!,toys games,action toy figures,figures,133
35630,B00009ILZH,Thomas And Friends Wooden Railway - Round About Action Turntable,unknown,0/0,5.0,1327795200,I love this toy combined with the roundhouse. I play with my trains and tracks everyday. Even my 6 year old brother joins in the fun. I am 4 and 3/4 and I love playing creatively with this toy. I have learned new ways to configure my tracks. Happy playing!,toys games,vehicles remote control,play trains railway sets,50
1536,B000066CMV,Avent Isis Manual Breast Pump,A3J95K9Y55QA4L,1/1,5.0,1056672000,"I just returned from Sweden where I went for my brother's wedding. I left my 6 month old at home with my husband. I was a bit worried about how this pump would perform-I didn't know if I would be able to adequately express myself so I also took my Bailey electric pump along. The Avent pump was great!! I used that pump in restrooms everywhere-airplane, restaurants, hotel rooms, my brother's reception... I was able to store it in my purse and it makes no noise, so it was very discreet! I never touched my electric pump. I was able to maintain my milk supply and my daughter resumed nursing with no trouble when I returned home. It may take a few tries to get used to it, but it really is worth the money and I think I can express as much milk in the same amount of time, maybe less, than with my electric pump.",baby products,feeding,breastfeeding,157
39908,B00004RM25,Beetle Juice [VHS] (1988),AKFEZQG6TX0KC,0/0,5.0,1343779200,"This is a classic movie. It had been a few years since I had seen this film and the blu-ray version is perfect. It's the best version of this film that I've seen since watching it in the movie theatre all those years ago. Great cast, great music and funny as all get out.",grocery gourmet food,beverages,juices,54
32552,B000J4N78O,"Natural Lash Builder, Tint and Conditioner, 0.22-Ounces (6.5 ml)",A2FJLVJYPHLIMF,1/1,4.0,1318032000,"This is supposed to be a conditioner but you can definately wear it instead of mascara. I have used it both ways and it works well either way. It does tint your lashes so they aren't ""fake"" colored. I would buy again.",beauty,makeup,eyes,42
11845,B0006I8GUC,CliC Adjustable Front Connect Reader,A36XCCLA93FXR1,0/0,5.0,1198195200,I love these glasses I am going to order more I no Longer search for my glasses they are attached to my neck and I can read and see the slot machine without digging into my bag,health personal care,personal care,eye care,37
7389,B0006U309C,5 Test Urine Reagent Strips - 1 Vial - from LW Scientific,A2F2HASXLTX9ER,7/8,5.0,1163116800,"now i can test urine for me and for my animals....no medical or vet bill for an u/a. U/A'S are very expensive...make sure you use a clean cup, try notto touch inside cup or urine (bacteria), dip stick into urine and follow directions on urine strip container.easy to read test strips. i am very pleased with this product.",health personal care,health care,diabetes,58
17918,B00061MP8S,"EQyss Micro-Tek Medicated Pet Shampoo, 16-Ounce",AY7BI77QIHE1M,18/18,4.0,1238371200,I have a Cocker Spaniel that has been scratching himself constantly. He would have an odor three days after a bath. He had little wart-like sores on his back that would flake off. The Vet prescribed steroids which helped for awhile. I did not want him to be on medication all the time. I changed his food to California Natural (no yeast) and started to bathe him with Micro-Tek. His scratching has improved 60% and he no longer has an odor or flaky sores. It's been two months and I think that we are on a road to recovery.,pet supplies,cats,grooming,99
38106,B000KJZOWU,Leachco Snoogle Mini Compact Side Sleeper,A191SZNAM7S1VF,3/3,4.0,1337212800,"I ordered the Snoogle Mini because I really wanted all the features of a body pillow except I didn't want it to be under my head too. I wanted to keep the head pillow I am currently sleeping on. This was perfect for that! It is just the right size, not too small as other reviews have said. I am 5'7"" and average weight and I can put the very curly part between my knees and still hug the top. That may change as my pregnant belly expands, but I still expect to get good use out of this pillow.I did not find the cover too difficult. Or, rather, I should say my husband did not find the cover too difficult. As soon as the pillow arrived he insisted that we wash the cover before using it in our bed. I told him about all the reviews saying how hard it was to get the cover on and off. He peeled the cover off, washed it and stuck it back on. As long as you are systematic about putting it back on, you're fine.Also, I was able to stuff this size into a large tote bag and take it with me on a weekend trip to my in-laws. And it curls up so that I can lean against it to read in bed at night.I gave it four stars, not five, because some nights I feel like it is too thick between my knees and once I woke up with hip pain, but that might just be the way my body was changing or tweaking on that particular night.All in all, I am very happy with my purchase.",baby products,pregnancy maternity,maternity pillows,278
24601,B000A5G9DM,"Petmate Ultra Bubbler Watering System, Medium, Peacock Blue",A1HLHI13RQMM4K,2/2,5.0,1282780800,I could not ask more out of this watering system. It is easy to clean with no little nooks and crannies that require special brushes to reach. Its easy to maintain since it doesn't require expensive filters and best of all the cats love it!,pet supplies,cats,feeding watering supplies,45
36643,B00005U8TE,Step2 Naturally Playful Sandbox,ATU8547UX4G9F,1/1,5.0,1331596800,We considered quite a few sandboxes before buying this one and even thought we might make one ourselves but this one won out for a few reasons.- It's color and design isn't tacky and bright like a lot of the other boxes we looked at.- The size is perfect for my 3 year old and my 19 month old to play in together.- It's lightweight so we can move it to mow the grass.We drilled holes in the bottom for drainage and it's been perfect.,toys games,sports outdoor play,sandboxes accessories,85
9977,B000JXQHDW,Stokke Sleepi Fitted Sheet,A2ZJW9SFP45HM1,2/3,5.0,1182988800,This sheet is great for the Stokke crib setup. It works so nicely and is even soft enough for baby to sleep on during the nights you just don't want to change the bottom sheet.,baby products,nursery,bedding,35
16921,B0002V2RWQ,Casual Canine Blue Snowflake Sweater Size Medium,A1E8JEYWQRTOWH,0/0,5.0,1231977600,"My dog and I love this sweater. It fits snugly, but not too snugly. It only rides up slightly, less than other sweaters. It definitely keeps her warm and she look so sweet in it too! With the weather as cold as it has been, this sweater has been a great purchase for us.",pet supplies,dogs,apparel accessories,54
39304,B0007G96XO,"Don Francisco's, 100% Columbian Supremo Coffee",A291A0H4HOMT85,0/0,5.0,1341705600,"We also have tried Gevalia, Folgers, and other brands but always come back to the Don because it tastes so good with our own blend of freshly ground beans. Our coffee never tastes too strong, just the best cup of coffee in the morning.",grocery gourmet food,beverages,coffee,44
8977,B00062X6L2,Bratz Treasure Pirate Doll Yasmin,unknown,0/0,5.0,1174176000,"Ilove this bratz doll. I named her Michelle.She is one of my favorite bratz dolls.and to all u bratz haters, what the heck are u doing here.shouldn't u be trash talking on barbie mermadia or something cuz thats annoying.this is a very beutiful doll.and if u dont like her, dont be rude about it.",toys games,dolls accessories,dolls,54
24460,B00021Z3MM,"Pro Band Sports Kneedit Knee Support, Black/White",A229EL1SDZQN03,0/0,5.0,1282003200,"I had a total knee replacement 6 years and am very active in participation sports. The Kneed-it knee brace offers additional support for my ""new"" knee, both physical and psychologically. Very satisfied with the way Amazon.com handled the transaction.",health personal care,medical supplies equipment,braces,39
3613,B00005MF9T,LitterMaid LM500 Automated Litter Box,A2G6PVWWRHRIBC,5/8,1.0,1106524800,I got this for my sister for christmas and with in 3 days the product stoped working. I was very upset because the animal using it was a 12 week old kitten with very little poop. I was out raged and immediatly returned the product and i still have not recieve my refund.,pet supplies,cats,litter housebreaking,53
650,B00005OBPC,Lifestream LSP3100 Cholesterol Monitor,unknown,5/14,1.0,1013817600,I can't believe there were no test strips included! I can't give a review on the product because I can't use it until I get my test strips (which I had to buy separately after opening the box and finding out they were not included). I feel ripped off.,health personal care,medical supplies equipment,health monitors,49
22522,B000066SW0,100 pcs Fun Ballz,A1IZWXGK1DF10B,3/3,4.0,1268956800,"Great for use with the numerous ball-pit toys you buy that only include 25 balls. These are colorful and vibrant toys. Too early to see how durable they will be. about 1/6 of the package was either ""deflated"" or dented.",toys games,sports outdoor play,ball pits accessories,40
28499,B000B9N0OI,Mary Kay Oil Free Makeup Remover New Packaging,A33ZL7XU8TGGUX,0/0,2.0,1300579200,"2 star because it, well, takes the makeup off...but that's about it. The product touts being ""oil free"" but it's the opposite. When you shake the bottle it looks like a mixture of oil and water. Using it is nothing different. My eyes feel soggy and oily after use. If I don't wash my face after using this eye makeup remover, I can barely read before going to sleep because my eyes are so goopy with the oil. Gross. Do not buy if you're looking for something that's wipe-and-go.",beauty,makeup,makeup remover,89
10093,B000776KKU,"BSN CELLMASS, Cellular Infusing Matrix",A1IR31QVEWHVMG,9/11,4.0,1184112000,"I have been using this product along with BSN N.O.Xplode, and my recovery time has been minimal. I can workout hard and suffer little soreness. One container last a lot longer with this product, because a serving is much smaller than other products.",health personal care,nutrition wellness,vitamins supplements,43
13287,B000NLJDC2,Contour Eye Mask,A12U4NXR1KTXAO,0/2,2.0,1206835200,"I've used the ""old"" style non-contoured silk eye masks for years now but they are quite irritating to my eyes to have something pressing against them, and for years that I've been using them, I constantly fight with them to adjust them to try to make them comfortable and allow me to go to sleep, so I saw this one and bought it thinking this is the be all, end all last mask I'll have to buy. Unfortunately that is not so, for me there is still pressure in the wrong places around my eyes and I've had to go back to the old flat non-contoured eye masks until I can find another contoured mask that works for me. I attribute this masks failure to work for me due to my size. I am a large person and have a large head (John Wayne has nothing on my stetson hat size), and this might not be a good solution for others that are not ""average"" size beings.",beauty,skin care,eyes,167
32658,B000GQS84I,"Blair&#39;s Death Rain Cheddar Jalapeno Kettle Chip, 2-Ounce Packages (Pack of 28)",A29JU0K4S3IT8D,1/1,4.0,1318377600,I got a taste of these in a 2 oz bag and was told they weren't being made anymore. Imagine my surprise when I found them here! I purchased the 5 oz bags and shared them with co-workers.From the first bite you get a nice smokey flavor and then the heat starts to kick in. After a few more chips you just can't stop crunching while beads of sweat pop out on your brow and your sinuses start clearning out.Love these chips!,grocery gourmet food,snack food,chips crisps,82
37187,B0001F2K3E,"FLA Orthopedics Soft Form Posture Control Brace, Beige",A3DG3BKPEIC4LU,2/2,3.0,1333411200,This brace does little for shoulder posture as the straps do not hold your shoulders back as I had hoped it would. It is a great mid back brace as it holds your tummy in and mid section tight.,health personal care,medical supplies equipment,braces,39
39966,B000PU31MY,"FURminator deShedding Tool for Cats, 1.75-Inch Edge",AJV4TVG910KM9,1/1,5.0,1344124800,"This thing is really amazing. The first time I brushed my cat with this, there was a pile of hair large enough to make another cat. She really enjoys being brushed with the Furminator too. She'll just rub right up against it.",pet supplies,cats,grooming,42
3495,B0001FUTP0,My Lip Stuff- Tube - Over 600 Lipbalm Flavors Available,A1A2QBFLIR5HCW,2/3,5.0,1104624000,"The balm melts a bit when applied, coats without too much effort and leaves a shine but isn't too heavy but you can feel it there and the scent lingers for just a few minutes too.Some of the scents aren't as strong as others but they're pretty true to their name :) Dessert/creamy ones tend to be ""weaker"" and citrus/tangy ones are stronger. My favorites (I'm a fruity/tangy lover) are midori and gummy bear.",health personal care,personal care,lip care products,74
35983,B00008CMOS,Queen Helene Facial Masques (Masks),A2P4HNYQRZD84I,0/0,5.0,1329091200,"I have used this a couple of times now, and so far I have less blackheads and my pores are a little smaller. I think with continued use It could really help my skin. I get a nice tingling feeling when I put it on, and afterwards my face feels a little dry, but also smooth. It seems to help control my oily skin. I think I will get about ten uses out of one 8 o.z. tube. I have already ordered another one!",beauty,skin care,face,84
38852,B0009DT39W,Panasonic EH2351AC Heated Eyelash Curler,A1I8QE9JSMT430,2/2,5.0,1340150400,"I've been using this eyelash curler for 3 years, and it finally broke, so this is my second order. I'm in love with heated eyelash curler and it is the only eyelash curler that works for my Asian eyelashes. The normal eyelash curler has never worked for my very straight eyelashes. It never curl enough, or even my eyelashes curl, it only can stay for a while. However, using heated eyelash curler can keep my eyelashes curl for all day. I use heated eyelash curler before and after applying mascara. If you think heated eyelash curler doesn't work for you, you might need to try to use it after applying mascara, and reapply one more coat or mascara. The result is more apparent.P.S. I recommend that the battery should be removed after being used because this eyelash curler draws electricity rapidly.",beauty,tools accessories,makeup brushes tools,141
25449,B000F7R5X8,Da Vinci SUGAR FREE Kahlua Syrup with Splenda,A1N2PNRGN47Y2P,1/1,1.0,1287273600,"I buy the Da Vinci sugar-free syrups all the time and love most of them. I only use them to flavor my coffee.I recently opened a bottle of the sugar-free Kahlua syrup and I may end up throwing it out. It smells awful, kind of sour. I don't know if it should smell this way in the bottle or if there is something off about MY bottle, but the odor is unbearable.I researched it online and can't find anything in relation to the Kahlua flavored syrup smelling funny.Better to toss it out than find out later on that there is something wrong with my particular bottle. I won't buy this flavor again.Sue",grocery gourmet food,pantry staples,cooking baking supplies,112
24423,B000FJQYQU,Obus Forme Lowback Backrest Support,A2DZ0ZSHC0ZVK4,0/0,5.0,1281830400,"I bought this for my father, age 91, who has had surgery for spinal stenosis in the past. Had a recommendation from his neighbor, who also has one. My father has been very pleased with it. I tried it myself and also liked it.",health personal care,medical supplies equipment,braces,44
23868,B000EIGJQ2,Dream Baby Swing Close Security Gate (shown with extensions included),A490DFQ3VPR5L,0/0,4.0,1278374400,"Love this gate. Only problem is putting it in a walkway that is 55"" wide...the description claims that it can cover up to 60 something inches. The gate gets warped if you put it in a space that's wider than about 45 inches, even with the extra pieces I bought. In the smaller walkways it's awesome.",baby products,safety,gates doorways,56
3574,B0005YX2QA,"A1 Steak Sauce - Original, 15 fl oz",A1IL6W1NK05UW9,2/2,5.0,1105574400,"I can hardly eat a hamburger, steak, roast, or any kind of beef without A1 Sauce. I get really annoyed when I run out of A1 Sauce. A1 is the best steak sauce out there. It has a great tangy, spicy flavor that enhances enjoyment of many meat products - especially beef. And it makes tough or poor beef or steaks at least tolerable.A1 is the best steak sauce in my book.",grocery gourmet food,pantry staples,sauces,72
11404,B00068HAK4,Wahl 79450 ComboPro 14-Piece Complete Styling Kit,A2DBFKYPOBLGRO,1/1,4.0,1195171200,"I like this product, course is cheap and I don't expect to much for this one, but for what I want the trimmer is more than fine, I don't like the material is a kind of bad plastic, remember me recicle things.Anyway grab it if you just one cut you extra hair in your body.",health personal care,personal care,shaving hair removal,55
